ISBN_KEY,ISBN_NAME
books/garland/Hack75,0-8240-4424-X
books/garland/Suzuki76,0-8240-4425-8
books/garland/Shum76,0-8240-4404-5
books/garland/Yun73,0-8240-4426-6
books/garland/Mitchell70,0-8240-4414-2
books/garland/Wick75,0-8240-4418-5
books/garland/Roberts63,0-8240-4427-4
books/garland/Brown77,0-8240-4408-8
books/garland/Cartwright76,0-8240-4420-7
books/garland/Crane72,0-8240-4407-X
books/garland/Pratt72,0-8240-4406-1
books/garland/Owicki75,0-8240-4413-4
books/garland/Standish67,0-8240-4422-3
books/garland/Gouraud71,0-8240-4412-6
books/garland/Minter76,0-8240-4421-5
books/garland/Wegbreit70,0-8240-4423-1
books/bu/Morgan1998,155558179X
books/bu/Rijsbergen79,0-408-70929-4
books/nostrand/WittenMT94,0-442-01863-0
books/cs/Ullman82,0-914894-36-6
books/cs/NaqviT89,0-7167-8200-6
books/cs/Parsons1992,0-7167-8261-8
books/cs/Ullman89,0-7167-8162-X
books/cs/Ullman88,0-7167-8069-0
books/cs/Ullman88,0-7167-8158-1
books/cs/Papadimitriou86,0-88175-027-1
books/cs/Maier83,0-914894-42-0
books/oldenbusch/2013,978-3000413162
books/crc/KatzLindell2014,9781466570269
books/crc/cvn2016,978-1-4987-2191-2
books/crc/cvn2016,978-1-4987-2192-9
books/crc/L2015,978-1-4822-5626-0
books/crc/L2015,978-1-4822-5627-7
books/crc/Lemone1992,0-8493-7342-5
books/crc/bigdata2015,978-1-4822-4055-9
books/crc/bigdata2015,978-1-4822-4056-6
books/crc/Hitzler2010,9781420090505
books/crc/Compiler07,978-1-42-004382-2
books/crc/dong2013,978-1-43-985432-7
books/crc/MenezesOV96,0-8493-8523-7
books/crc/Talia2012,978-1-4398-7531-5
books/crc/Talia2012,978-1-4398-7533-9
books/crc/Czarnul2015,978-1-49-870646-9
books/crc/bhw2016,978-1-4398-1247-1
books/crc/asds2016,978-1-4987-0158-7
books/crc/asds2016,978-1-4987-0159-4
books/crc/zurawski2009-2,978-1-4398-0761-3
books/crc/zurawski2009-2,978-1-4398-0762-0
books/crc/sakr2014,978-1-4665-8150-0
books/crc/sakr2014,978-1-4665-8151-7
books/crc/cloud2014,978-1-4665-6917-1
books/crc/cloud2014,978-1-4665-6918-8
books/crc/healthcare2015,978-1-4822-3211-0
books/crc/healthcare2015,978-1-4822-3212-7
books/crc/rlc2016,9781498776332
books/crc/Compiler02,0-8493-1240-X
books/crc/aggarwal2013,978-1-46-655821-2
books/crc/tucker1997,0-8493-2909-4
books/crc/Torgo2010,9781439810187
books/crc/KatzLindell2007,978-1-58488-551-1
books/crc/chb2014-2,978-1-43-989854-3
books/crc/mugc2014,978-1-4665-5740-6
books/crc/mugc2014,978-1-4665-5741-3
books/crc/hbd2016,978-1-4822-4907-1
books/crc/hbd2016,978-1-4822-4908-8
books/crc/zurawski2009-1,978-1-4398-0755-2
books/crc/zurawski2009-1,978-1-4398-0763-7
books/crc/linked2014,978-1-4665-8240-8
books/crc/linked2014,978-1-4665-8241-5
books/crc/aggarwal2014,978-1-4665-8674-1
books/crc/AU1992,0716782332
books/crc/IIR05,0-8493-1985-4
books/infix/Hasse96,978-3-89601-413-9
books/infix/Markl99,3-89601-459-5
books/infix/Steinhage93,3-929037-45-9
books/infix/Klotz93,3-929037-39-4
books/infix/Schaad96,3-89601-412-9
books/infix/Gunter92,3-929037-03-3
books/infix/Gunthor97,3-89601-427-7
books/infix/Weik97,3-89601-437-4
books/infix/Walter96,3-89601-410-2
books/infix/Ingenerf93,3-929037-43-2
books/infix/Schwarz99,978-3-89601-465-8
books/infix/Althoff93,3-929037-23-8
books/infix/Wetzel96,3-89601-109-X
books/infix/Kottmann96,3-89601-420-X
books/infix/Kaiser97,3-89601-153-7
books/infix/Zhang92,3-929037-16-5
books/infix/Rys98,3-89601-444-7
books/infix/Klettke98,3-89601-451-X
books/infix/Schuhart2006,978-3-89838-497-1
books/infix/Strasser92,3-929037-08-4
books/infix/Hartel97,3-89601-422-6
books/infix/Rieche96,3-89601-408-0
books/infix/Wiltfang99,3-89601-457-9
books/infix/Frank97,3-89601-432-3
books/infix/Hemforth93,3-929037-40-8
books/infix/Dobrovnik97,3-89601-425-0
books/infix/Tank92,3-929037-05-X
books/infix/Meskes97,3-89601-421-8
books/infix/Messer92,3-929037-22-X
books/infix/Listl96,3-89601-407-2
books/infix/Wanner98,3-89601-446-3
books/infix/Bayer93,3-929037-44-0
books/infix/Assmann92,3-929037-21-1
books/infix/Heinsohn94,3-929037-55-6
books/infix/Reinert96,3-89601-411-0
books/infix/Zercher92,3-929037-17-3
books/infix/Simon93,3-929037-49-1
books/infix/Andre95,3-89601-108-1
books/infix/Hofmann98,3-89601-442-0
books/infix/Denker96,3-89601-406-4
books/infix/Kusch96,3-89601-409-9
books/infix/Ertel93,3-929037-25-4
books/infix/Krivokapic99,3-89601-454-4
books/infix/Maier93,3-929037-47-5
books/infix/Ludascher98,3-89601-445-5
books/infix/Mehl93,3-929037-52-1
books/infix/Ritter97,3-89601-433-1
books/infix/Grosse99,3-89601-464-1
books/infix/Kliger96,3-89601-403-X
books/infix/Syska92,3-929037-04-1
books/infix/Prechtel93,3-929037-28-9
books/infix/Spreng93,3-929037-34-3
books/infix/Preuner99,3-89601-453-6
books/infix/Myka99,3-89601-452-8
books/infix/Schmitt98,3-89601-443-9
books/infix/Schaefers2016,978-3-89838-509-1
books/infix/Homann97,3-89601-152-9
books/infix/Liu93,3-929037-36-X
books/infix/Dusterhoft97,3-89601-436-6
books/infix/Uhrmacher92,3-929037-20-3
books/infix/Otte94,3-929037-63-7
books/infix/Sauter98,3-89601-447-1
books/infix/Benzschawel96,3-89601-417-X
books/infix/Mast93,3-929037-50-5
books/infix/Kapsammer99,3-89601-462-5
books/infix/Kohne93,3-929037-38-6
books/infix/Jonscher98,3-89601-449-8
books/infix/Stein94,3-929037-62-9
books/infix/Neugebauer92,3-929037-18-1
books/infix/Fahrner97,3-89601-429-3
books/infix/Cao93,3-929037-33-5
books/infix/Nissen97,3-89601-438-2
books/infix/Bruning93,3-929037-35-1
books/infix/Gallersdorfer97,3-89601-424-2
books/infix/Winklhofer94,3-929037-58-0
books/infix/Berns94,3-929037-61-0
books/infix/Lehner93,3-929037-29-7
books/infix/Eusterbrock92,3-929037-10-6
books/infix/Kandzia98,3-89601-448-X
books/infix/Fischer93,3-929037-26-2
books/infix/vonWangenheim97,3-89601-147-2
books/infix/Wodtke97,3-89601-431-5
books/infix/Zachmann97,3-89601-426-9
books/infix/Kummert92,3-929037-12-2
books/infix/Werling93,3-929037-46-7
books/infix/Maurer93,3-929037-48-3
books/infix/Boss96,3-89601-404-8
books/infix/Neufeld94,3-929037-56-4
books/infix/Breitner98,3-89601-441-2
books/infix/Thomas96,3-89601-416-1
books/infix/Sommer93,3-929037-32-7
books/infix/Staudt97,3-89601-423-4
books/infix/Ley93,3-929037-41-6
books/infix/Muller92,3-929037-02-5
books/infix/Schroder94,3-929037-54-8
books/infix/Woss99,3-89601-461-7
books/infix/Obermayer93,3-929037-24-6
books/infix/Reithinger92,3-929037-01-7
books/infix/Neubert94,
books/infix/Kaldeich97,3-89601-430-7
books/infix/Moller96,3-89601-149-9
books/infix/Geyer99,3-89601-458-7
books/infix/Rezende97,3-89601-435-8
books/infix/Hormann92,3-929037-11-4
books/infix/Weiss95,3-929037-75-0
books/infix/Turker99,3-89601-463-3
books/infix/Eckstein93,3-929037-31-9
books/infix/Makoui2007,978-3-89838-500-8
books/infix/Schuster98,3-89601-450-1
books/infix/Posegga93,3-929037-51-3
books/infix/Specht93,3-929037-42-4
books/infix/Pauli93,3-929037-27-0
books/infix/Jeusfeld92,3-929037-19-X
books/infix/Karbach94,3-929037-57-2
books/infix/Hartmann96,3-89601-401-3
books/infix/Ludewig93,3-929037-30-0
books/infix/Zhao94,3-929037-59-9
books/infix/Masermann99,3-89601-460-9
books/infix/Steinbrunn96,3-89601-405-6
books/infix/Hartroth99,3-89601-456-0
books/infix/Martinetz92,3-929037-14-9
books/infix/Herzog96,3-89601-415-3
books/infix/Moller92,3-929037-07-6
books/infix/Kockskamper96,3-89601-150-2
books/infix/Retschitzegger97,3-89601-439-0
books/infix/Angele93,3-929037-53-X
books/infix/Bergmann96,3-89601-138-3
books/infix/Peithner96,3-89601-402-1
books/infix/Koller92,3-929037-13-0
books/infix/Wohlke92,3-929037-06-8
books/infix/Kudrass97,3-89601-434-X
books/infix/Hotker97,3-89601-151-0
books/infix/Gerlhof96,3-89601-418-8
books/infix/Pagel96,3-89601-414-5
books/infix/Sauer93,3-929037-37-8
books/mk/KhoshafianCWW92,1-55860-147-3
books/mk/FreytagMV91,1-55860-271-2
books/mk/Minker88,0-934613-40-0
books/mk/WeikumV2002,1-55860-508-8
books/mk/KhoshafianD98,1-55860-494-4
books/mk/Quinlan93,1-55860-238-0
books/mk/Ginsberg93,1-55860-221-6
books/mk/Celko99,1-55860-576-2
books/mk/BancilhonDK92,1-55860-169-4
books/mk/WittenGN06,0-12-370609-2
books/mk/StonebrakerBM98,1-55860-452-9
books/mk/BrodieS95,1-55860-330-1
books/mk/BrodieS95,978-1-55860-330-1
books/mk/Stonebraker88,0-934613-65-6
books/mk/Subrahmanian98,1-55860-466-9
books/mk/Natarajan91,1-55860-148-1
books/mk/PattersonH94,
books/mk/Celko95,1-55860-323-9
books/mk/Lightstone2007,0123693896
books/mk/Pyle99,1-55860-529-0
books/mk/HanK2000,1-55860-489-8
books/mk/Teory98,1-55860-500-2
books/mk/Chamberlin98,1-55860-482-0
books/mk/Celko97,1-55860-453-7
books/mk/EppingerMS91,1-55860-185-6
books/mk/Melton98,1-55860-461-8
books/mk/Melton00,1-55860-562-2
books/mk/Cattell00,1-55860-647-5
books/mk/LynchMWF93,1-55860-104-X
books/mk/PuderR00,1-55860-666-1
books/mk/Hvasshovd99,3-52-815411-X
books/mk/Cox00,0-12-194275-9
books/mk/Melton00a,1-55860-456-1
books/mk/AllenK2001,1-55860-286-0
books/mk/WittenF99,1-55860-552-5
books/mk/Langley94,1-55860-301-8
books/mk/HoosS2004,1-55860-872-9
books/mk/Stonebraker94,1-55860-252-6
books/mk/GutingS2005,0-12-088799-1
books/mk/WittenB03,1-55860-790-0
books/mk/WeissK90,1-55860-065-5
books/mk/BunemanSA99,1-55860-622-X
books/mk/ONeilN00,1-55860-438-3
books/mk/GrayR93,1-55860-190-2
books/mk/Saracco98,1-55860-519-3
books/mk/Stonebraker96,1-55860-397-2
books/mk/HennessyP96,1-55860-329-8
books/mk/Stonebraker98,1-55860-523-1
books/mk/Gray93,1-55860-292-5
books/mk/Lynch96,1-55860-348-4
books/mk/WittenMB99,1-55860-570-3
books/mk/FayyadGW2001,1-55860-689-0
books/mk/Touretzky86,0-934613-06-0
books/mk/VossenH2007,978-0-12-374034-2
books/mk/MeltonS93,1-55860-245-3
books/mk/PattersonH97,1-55860-428-6
books/mk/Westman00,1-55860-684-X
books/mk/ONeil94,1-55860-219-4
books/mk/ONeil94,1-55860-392-1
books/mk/HanKP2011,978-0123814791
books/mk/PattersonH90,1-55860-188-0
books/mk/BernsteinN96,1-55860-415-4
books/mk/ZanioloCFSSZ97,1-55860-443-X
books/mk/WidomC96,1-55860-304-2
books/mk/Olson03,1-55860-891-5
books/mk/Sayood96,1-55860-346-8
books/mk/Lesk97,1-55860-459-6
books/mk/Mueller2006,0-12-369388-8
books/mk/DittrichG00,1-55860-642-4
books/mk/YuM97,1-55860-434-0
books/mk/Elmagarmid92,1-55860-214-3
books/mk/Giampaolo99,1-55860-497-9
books/mk/ZdonikM90,1-55860-000-0
books/mk/Herlihy2013,978-0-12-404578-1
books/mk/CooperT2004,1-55860-699-8
books/mk/JacobNW2008,978-0-12-379751-3
books/mk/SchillerV2004,1-55860-929-6
books/mk/Walther87,0-273-08718-5
books/mk/Hackathorn98,1-55860-503-7
books/mk/Feiler99,0-12-251336-3
books/mk/Muchnick1997,1-55860-320-4
books/mk/Celko99a,1-55860-432-4
books/mk/Muller99,1-55860-515-0
books/mk/Snodgrass99,1-55860-436-7
books/mk/Simon95,1-55860-264-X
books/mt/NelsonG1996,1-55851-434-1
books/emf/Mokhov03,978-2-89168-620-4
books/av/muller14,9783862474394
books/shaker/Klasing96,3-8265-1281-2
books/shaker/Moerkotte95,3-8265-0869-6
books/csli/Uszkoreit87,0-937073-10-5
books/csli/Shieber86,0-937073-00-8
books/ms/Geiger95,1-55615-815-7
books/ms/Rogerson97,1-57231-349-8
books/ms/4paradigm09,978-0982544204
books/bc/KumarGGK94,0-8053-3170-0
books/bc/ElmasriN94,0-8053-1748-1
books/bc/MaierW88,0-8053-6681-4
books/bc/AtzeniA93,0-8053-0249-2
books/bc/TanselCGJSS93,0-8053-2413-5
books/bc/FischerL1991,0-8053-2166-7
books/bc/BatiniCN92,0-8053-0244-1
books/el/RSS2015,9780127999593
books/el/RSS2015,9780128004722
books/el/TaaliaTM2015,978-0-12-802881-0
books/el/17/012809764,978-0-12-809764-9
books/el/17/012809764,978-0-12-809765-6
books/el/KC2015,978-0-12-801595-7
books/el/Alba85,0-444-87735-5
books/el/RobinsonV01,0-444-50813-9
books/el/RobinsonV01,0-262-18223-8
books/el/Leeuwen90,0-444-88071-2
books/el/Leeuwen90,0-262-22038-5
books/el/Leeuwen90a,0-444-88074-7
books/el/Leeuwen90a,0-262-22039-3
books/el/Kent1978,0-444-85187-9
books/ph/Wilkinson98,0-13-671710-1
books/ph/PittmanP1992,0-13-046160-1
books/ph/Meyer94,0-13-245507-2
books/ph/PapadimitriouS82,0-13-152462-3
books/ph/Yao85,0-13-708876-0
books/ph/Shasha92,0-13-205246-6
books/ph/Meyer97,0-13-629155-4
books/ph/Backhouse1979,0-13-879999-7
books/ph/FrakesB92,0-13-463837-9
books/ph/KernighanR88,0-13-110370-9
books/ph/GroskyJM97,0-13-207325-0
books/ph/RumbaughBPEL91,0-13-630054-5
books/ph/LewisP81,0-13-273417-6
books/ph/LewisP81,0-13-273426-5
books/ph/Dijkstra76,013215871X
books/ph/OzsuV91,0-13-715681-2
books/ph/Tanenbaum92,0-13-588187-0
books/ph/CardenasM90,0-13-806340-0
books/ph/Tanenbaum81,0-13-165183-8
books/ph/Hoare85,0-13-153271-5
books/ph/Meyer94a,0-13-245499-8
books/ph/Topley00,0-13-083292-8
books/ph/BukhresE96,0-13-103813-3
books/ph/Meyer01,0-13-033115-5
books/ph/WelshH1986,0-13-586454-2
books/ph/DeitelDS01,0-13-089560-1
books/ph/BestR85,0-13-536996-7
books/ph/Meyer91,0-13-247925-7
books/ph/Geary99,0-13-079667-0
books/ph/KemperM94,0-13-629239-9
books/ph/Lightstone2000,0-13-705967-1
books/ph/Dunham02,0-13-088892-3
books/ph/KernighanR78,0-13-110163-3
books/ph/Hansen1985,0-13-083098-4
books/ph/Garcia-MolinaUW99,0-13-040264-8
books/ph/LoomisC97,0-13-899725-X
books/ph/Bach86,0-13-201799-7
books/ph/Bach86,0132017571
books/ph/Comer00,0-13-018380-6
books/ph/Salzberg88,0-13-314550-6
books/ph/BattistaETT99,0-13-301615-3
books/ph/Tomlin90,0-13-350927-3
books/ph/Meyer90,0-13-498510-9
books/ph/Meyer88,0-13-629031-0
books/ph/WaldenN94,0-13-031303-3
books/ph/UllmanW97,0-13-861337-0
books/ph/WakemanJ93,0-13-065566-X
books/harper/Gallier86,0-06-042225-4
books/harper/WaiteC1993,0-673-39822-6
books/kl/Bertino97,0-7923-9985-4
books/kl/Snodgrass95,0-7923-9614-6
books/kl/Manolopoulos1999,0-7923-7716-8
books/kl/CacaceL96,0-7923-4081-7
books/kl/Xue00,0-7923-7933-0
books/kl/Djeraba02,1-4020-7247-3
books/kl/NetelerM02,1-4020-7088-8
books/kl/MenaI01,0-7923-7375-8
books/kl/ChangHMW01,0-7923-7349-9
books/kl/Franklin96,0-7923-9701-0
books/kl/Cordeschi02,1-4020-0606-3
books/kl/WuXS2003,1-4020-7682-7
books/kl/MoffatT02,0-7923-7668-4
books/kl/WangZL01,0-7923-7215-8
books/kl/JajodiaK97,0-7923-9880-7
books/kl/Manolopoulos2003,978-1-4613-4654-8
books/kl/GuidaLZ99,0-7923-6016-8
books/fischer/Stoll02,3-596-15512-6
books/idea/DoornR02,1-930708-38-6
books/idea/Rossi01,1-878289-77-2
books/idea/Siau02,1-930708-41-6
books/idea/Ency05,1-59140-553-X
books/idea/Siau04,1-59140-296-4
books/idea/Siau03,1-59140-063-5
books/idea/EncyDB05,1-59140-560-2
books/idea/Siau05,1-59140-376-6
books/idea/irm05,1-59140-388-X
books/idea/Siau01,1-930708-05-X
books/idea/Rafanelli03,1-59140-053-8
books/idea/Becker03,1-931777-47-0
books/idea/Taniar03,1-59140-035-X
books/eh/AbramskyH87,0-7458-0109-9
books/eh/PembertonD1982,0136530311
books/eh/MichieST94,0-13-106360-X
books/ol/Vossen2008,978-3-486-27574-2
books/ol/DoberkatD02,3-486-25342-5
books/ol/Kastens1990,3-486-20780-6
books/ol/cscl2004,3-486-27436-8
books/ol/KemperW09,978-3-486-59001-2
books/ol/Lang03,3-486-25900-8
books/ol/DoberkatD99,3-486-24786-7
books/ol/Bruderer2012,978-3-486-71366-4
books/ol/KemperE04,3-486-27392-2
books/ol/KemperE11,978-3-486-59834-6
books/ol/Blum01,3-486-25776-5
books/ol/OberschelpV03,3-486-27206-3
books/ol/KemperE01,3-486-25706-4
books/ol/Schoning02,3-486-25899-0
books/ol/Vossen00,3-486-25339-5
books/ol/Schmitt05,3-486-57907-X
books/ol/PernulU01,3-486-25580-0
books/ol/Hedtstuck00,3-486-25515-0
books/ol/Dieterich01,3-486-25423-5
books/ol/KemperE06,3-486-57690-9
books/duv/Schoning93,978-3-8244-2041-4
books/duv/OemigCH1991,3-8244-2020-1
books/eyrolles/Amini13,978-2-212-13532-9
books/eyrolles/Amini15,978-2-212-13800-9
books/ox/AG1997,978-019-511367-9
books/ox/WangSS99,0-19-511940-1
books/ox/LAI2Hb94,0-19-853746-8
books/ox/CrochemoreR94,0-19-508609-0
books/ws/EspinosaW11,978-1-84816-527-4
books/ws/EspinosaW11,978-1-908978-09-7
books/ws/Tan10,978-981-4273-32-9
books/ws/Tan10,978-981-4467-93-3
books/ws/MonacoP91,978-981-02-0466-2
books/ws/ZouDP08,978-981-270-368-2
books/ws/ZouDP08,978-981-4476-62-1
books/ws/ChenL10,978-981-4282-64-2
books/ws/ChenL10,978-981-4466-88-2
books/ws/DAcunto04,978-981-256-037-7
books/ws/Mamontov01,978-981-02-4385-2
books/ws/Mamontov01,978-981-4492-59-1
books/ws/Gzyl95,978-981-02-1812-6
books/ws/Gzyl95,978-981-4501-92-7
books/ws/CarmichaelKP07,978-981-270-769-7
books/ws/CarmichaelKP07,978-981-4475-20-4
books/ws/MikaB95,978-981-02-2125-6
books/ws/MikaB95,978-981-4500-97-5
books/ws/Phat96,978-981-02-2787-6
books/ws/Phat96,978-981-4498-45-6
books/ws/SaitY99,981-02-3883-5
books/ws/KhoussainovK12,978-981-4340-50-2
books/ws/Voller09,978-981-283-498-0
books/ws/Szczepanski12,978-981-4412-25-4
books/ws/Szczepanski12,978-981-4412-27-8
books/ws/Namatame06,978-981-256-856-4
books/ws/Namatame06,978-981-4477-61-1
books/ws/Berndt07,978-981-270-635-5
books/ws/Berndt07,978-981-4475-53-2
books/ws/LiaoT08,978-981-277-985-4
books/ws/LiaoT08,978-981-4472-17-3
books/ws/WangWW03,981-238-257-7
books/ws/automata12,978-981-4271-04-2
books/ws/SibaniJ13,978-1-84816-993-7
books/ws/Burgin09,978-981-283-548-2
books/ws/Burgin09,978-981-4469-72-2
books/ws/Zaknich03,978-981-238-305-1
books/ws/Zaknich03,978-981-4486-46-0
books/ws/Johnson14,978-1-86094-972-2
books/ws/Johnson14,978-1-78326-443-8
books/ws/WangHD11,978-981-4350-31-0
books/ws/WangHD11,978-981-4460-48-4
books/ws/Gomez-Rodriguez10,978-1-84816-560-1
books/ws/Gomez-Rodriguez10,978-1-908978-02-8
books/ws/Manlove13,978-981-4425-24-7
books/ws/Manlove13,978-981-4425-26-1
books/ws/Chukwu00,978-981-02-4381-4
books/ws/Chukwu00,978-981-4492-63-8
books/ws/BainovS95,978-981-02-1823-2
books/ws/BainovS95,978-981-4501-88-0
books/ws/Soize94,978-981-02-1755-6
books/ws/Soize94,978-981-4502-02-3
books/ws/SchroterC10,978-981-4273-21-3
books/ws/SchroterC10,978-981-4468-19-0
books/ws/BatemanD04,978-981-238-938-1
books/ws/BatemanD04,978-981-256-080-3
books/ws/BatemanD04,978-981-4365-56-7
books/ws/Arora07,978-981-256-862-5
books/ws/Arora07,978-981-4365-49-9
books/ws/Handzic05,978-981-256-024-7
books/ws/Handzic05,978-981-4481-90-8
books/ws/Meystel91,978-9971-5-0088-7
books/ws/Meystel91,978-9971-5-0089-4
books/ws/Meystel91,978-981-4507-94-3
books/ws/SchockaertCK10,978-981-4307-89-5
books/ws/SchockaertCK10,978-981-4464-77-2
books/ws/Gill15,978-981-4632-12-6
books/ws/Gill15,978-981-4632-14-0
books/ws/Klove07,978-981-270-586-0
books/ws/Klove07,978-981-4475-78-5
books/ws/MV2010,978-1-84816-544-1
books/ws/BellmanR84,978-9971-966-73-7
books/ws/BellmanR84,978-981-4513-56-2
books/ws/GzylV11,978-981-4338-77-6
books/ws/GzylV11,978-981-4462-16-7
